date,pounds_in_a_rupiah,rupiahs_in_a_pound,year,month,day
2015-01-01,5.159e-05,19383.60147315371,2015,1,1
2015-01-02,5.206e-05,19208.60545524395,2015,1,2
2015-01-03,5.213e-05,19182.81220026856,2015,1,3
2015-01-05,5.2e-05,19230.76923076923,2015,1,5
2015-01-06,5.217e-05,19168.104274487254,2015,1,6
2015-01-07,5.228e-05,19127.773527161437,2015,1,7
2015-01-08,5.228e-05,19127.773527161437,2015,1,8
2015-01-09,5.251e-05,19043.991620643686,2015,1,9
2015-01-10,5.24e-05,19083.969465648854,2015,1,10
2015-01-12,5.241e-05,19080.328181644723,2015,1,12
2015-01-13,5.244e-05,19069.412662090006,2015,1,13
2015-01-14,5.219e-05,19160.758766047136,2015,1,14
2015-01-15,5.267e-05,18986.14011771407,2015,1,15
2015-01-16,5.24e-05,19083.969465648854,2015,1,16
2015-01-17,5.236e-05,19098.548510313216,2015,1,17
2015-01-19,5.219e-05,19160.758766047136,2015,1,19
2015-01-20,5.246e-05,19062.142584826535,2015,1,20
2015-01-21,5.307e-05,18843.037497644622,2015,1,21
2015-01-22,5.35e-05,18691.58878504673,2015,1,22
2015-01-23,5.34e-05,18726.591760299627,2015,1,23
2015-01-24,5.348e-05,18698.57890800299,2015,1,24
2015-01-26,5.31e-05,18832.391713747646,2015,1,26
2015-01-27,5.279e-05,18942.981625307824,2015,1,27
2015-01-28,5.28e-05,18939.39393939394,2015,1,28
2015-01-29,5.264e-05,18996.96048632219,2015,1,29
2015-01-30,5.212e-05,19186.49270913277,2015,1,30
2015-01-31,5.204e-05,19215.98770176787,2015,1,31
2015-02-02,5.257e-05,19022.25603956629,2015,2,2
2015-02-03,5.245e-05,19065.776930409913,2015,2,3
2015-02-04,5.198e-05,19238.16852635629,2015,2,4
2015-02-05,5.193e-05,19256.69170036588,2015,2,5
2015-02-06,5.175e-05,19323.671497584543,2015,2,6
2015-02-07,5.18e-05,19305.019305019305,2015,2,7
2015-02-08,5.143e-05,19443.90433599067,2015,2,8
2015-02-09,5.181e-05,19301.293186643506,2015,2,9
2015-02-10,5.152e-05,19409.937888198758,2015,2,10
2015-02-11,5.108e-05,19577.13390759593,2015,2,11
2015-02-12,5.101e-05,19603.99921584003,2015,2,12
2015-02-13,5.097e-05,19619.383951343927,2015,2,13
2015-02-14,5.103e-05,19596.31589261219,2015,2,14
2015-02-15,5.077e-05,19696.67126255663,2015,2,15
2015-02-16,5.096e-05,19623.233908948194,2015,2,16
2015-02-17,5.099e-05,19611.68856638557,2015,2,17
2015-02-18,5.032e-05,19872.81399046105,2015,2,18
2015-02-19,5.032e-05,19872.81399046105,2015,2,19
2015-02-20,5.052e-05,19794.140934283452,2015,2,20
2015-02-21,5.051e-05,19798.059790140564,2015,2,21
2015-02-22,5.082e-05,19677.292404565134,2015,2,22
2015-02-23,5.004e-05,19984.012789768185,2015,2,23
2015-02-24,5.018e-05,19928.258270227183,2015,2,24
2015-02-25,5.02e-05,19920.3187250996,2015,2,25
2015-02-26,5.043e-05,19829.466587348797,2015,2,26
2015-02-27,4.981e-05,20076.28990162618,2015,2,27
2015-02-28,4.988e-05,20048.11547714515,2015,2,28
2015-03-01,4.991e-05,20036.06491685033,2015,3,1
2015-03-02,5.001e-05,19996.000799840032,2015,3,2
2015-03-03,5.009e-05,19964.064683569573,2015,3,3
2015-03-04,4.992e-05,20032.05128205128,2015,3,4
2015-03-05,5.048e-05,19809.825673534073,2015,3,5
2015-03-06,5.089e-05,19650.22597759874,2015,3,6
2015-03-07,5.085e-05,19665.68338249754,2015,3,7
2015-03-08,5.085e-05,19665.68338249754,2015,3,8
2015-03-09,5.065e-05,19743.336623889438,2015,3,9
2015-03-10,5.017e-05,19932.230416583614,2015,3,10
2015-03-11,5.073e-05,19712.201852946975,2015,3,11
2015-03-12,5.093e-05,19634.7928529354,2015,3,12
2015-03-13,5.129e-05,19496.977968414896,2015,3,13
2015-03-14,5.125e-05,19512.19512195122,2015,3,14
2015-03-15,5.125e-05,19512.19512195122,2015,3,15
2015-03-16,5.104e-05,19592.476489028213,2015,3,16
2015-03-17,5.144e-05,19440.124416796265,2015,3,17
2015-03-18,5.166e-05,19357.336430507163,2015,3,18
2015-03-19,5.202e-05,19223.37562475971,2015,3,19
2015-03-20,5.136e-05,19470.404984423676,2015,3,20
2015-03-21,5.13e-05,19493.17738791423,2015,3,21
2015-03-22,5.122e-05,19523.62358453729,2015,3,22
2015-03-23,5.16e-05,19379.84496124031,2015,3,23
2015-03-24,5.191e-05,19264.110961279137,2015,3,24
2015-03-25,5.17e-05,19342.35976789168,2015,3,25
2015-03-26,5.169e-05,19346.10176049526,2015,3,26
2015-03-27,5.143e-05,19443.90433599067,2015,3,27
2015-03-28,5.143e-05,19443.90433599067,2015,3,28
2015-03-29,5.149e-05,19421.246844047386,2015,3,29
2015-03-30,5.168e-05,19349.84520123839,2015,3,30
2015-03-31,5.163e-05,19368.58415649816,2015,3,31
2015-04-01,5.184e-05,19290.123456790123,2015,4,1
2015-04-02,5.182e-05,19297.568506368196,2015,4,2
2015-04-03,5.161e-05,19376.089905057157,2015,4,3
2015-04-04,5.183e-05,19293.84526336099,2015,4,4
2015-04-05,5.172e-05,19334.880123743234,2015,4,5
2015-04-06,5.147e-05,19428.793471925394,2015,4,6
2015-04-07,5.151e-05,19413.70607649,2015,4,7
2015-04-08,5.181e-05,19301.293186643506,2015,4,8
2015-04-09,5.221e-05,19153.41888527102,2015,4,9
2015-04-10,5.282e-05,18932.222642938283,2015,4,10
2015-04-12,5.281e-05,18935.80761219466,2015,4,12
2015-04-13,5.232e-05,19113.149847094803,2015,4,13
2015-04-14,5.227e-05,19131.43294432753,2015,4,14
2015-04-15,5.254e-05,19033.11762466692,2015,4,15
2015-04-16,5.233e-05,19109.49742021785,2015,4,16
2015-04-17,5.208e-05,19201.22887864823,2015,4,17
2015-04-19,5.211e-05,19190.17463058914,2015,4,19
2015-04-20,5.19e-05,19267.822736030826,2015,4,20
2015-04-21,5.156e-05,19394.87975174554,2015,4,21
2015-04-22,5.142e-05,19447.68572539868,2015,4,22
2015-04-23,5.165e-05,19361.08422071636,2015,4,23
2015-04-24,5.086e-05,19661.816751867875,2015,4,24
2015-04-26,5.094e-05,19630.938358853553,2015,4,26
2015-04-27,5.077e-05,19696.67126255663,2015,4,27
2015-04-28,5.038e-05,19849.146486701073,2015,4,28
2015-04-29,5.064e-05,19747.235387045814,2015,4,29
2015-04-30,5.042e-05,19833.399444664814,2015,4,30
2015-05-01,5.063e-05,19751.13569030219,2015,5,1
2015-05-03,5.06e-05,19762.845849802372,2015,5,3
2015-05-04,5.087e-05,19657.95164143896,2015,5,4
2015-05-05,5.071e-05,19719.976336028398,2015,5,5
2015-05-06,5.036e-05,19857.029388403495,2015,5,6
2015-05-07,5e-05,20000.0,2015,5,7
2015-05-08,4.939e-05,20247.013565499088,2015,5,8
2015-05-10,4.928e-05,20292.20779220779,2015,5,10
2015-05-11,4.876e-05,20508.613617719442,2015,5,11
2015-05-12,4.818e-05,20755.500207555,2015,5,12
2015-05-13,4.845e-05,20639.83488132095,2015,5,13
2015-05-14,4.812e-05,20781.37988362427,2015,5,14
2015-05-15,4.867e-05,20546.53790836244,2015,5,15
2015-05-17,4.862e-05,20567.667626491155,2015,5,17
2015-05-18,4.837e-05,20673.971469919372,2015,5,18
2015-05-19,4.852e-05,20610.05770816158,2015,5,19
2015-05-20,4.877e-05,20504.40844781628,2015,5,20
2015-05-21,4.859e-05,20580.366330520683,2015,5,21
2015-05-22,4.892e-05,20441.537203597713,2015,5,22
2015-05-24,4.885e-05,20470.829068577277,2015,5,24
2015-05-25,4.904e-05,20391.517128874388,2015,5,25
2015-05-26,4.914e-05,20350.02035002035,2015,5,26
2015-05-27,4.945e-05,20222.446916076846,2015,5,27
2015-05-28,4.976e-05,20096.46302250804,2015,5,28
2015-05-29,4.941e-05,20238.8180530257,2015,5,29
2015-05-31,4.94e-05,20242.914979757086,2015,5,31
2015-06-01,4.975e-05,20100.502512562813,2015,6,1
2015-06-02,4.942e-05,20234.722784297857,2015,6,2
2015-06-03,4.919e-05,20329.335230737954,2015,6,3
2015-06-04,4.88e-05,20491.803278688523,2015,6,4
2015-06-05,4.887e-05,20462.45140167792,2015,6,5
